problem,optimal solution,basic_VNS - solution,basic_VNS - deviation (%),basic_VNS - time (s)
10.2,163603.94,163603.94316823076,0.0,0.6189818382263184
10.3,131581.79,131581.786946515,0.0,0.9435513019561768
10.4,107354.73,107354.72987314493,0.0,1.1570863723754883
10.5,86028.88,86028.88433015873,0.0,1.2956323623657227
10.8,,54628.751329903804,,0.7548956871032715
15.2,,167236.84180780375,,2.336756467819214
15.3,,147872.07474300812,,3.6230106353759766
15.4,,128607.69096199537,,5.160732746124268
15.5,,111464.7271523484,,6.7543785572052
15.8,,78050.10836156514,,7.986758232116699
20.2,168599.79,168599.78613799083,0.0,5.936492681503296
20.3,148048.3,148048.29925765764,0.0,10.046223640441895
20.4,131665.43,131665.4300892154,0.0,15.814462423324585
20.5,118934.97,118934.97445820276,0.0,20.22562026977539
20.8,,91454.8260995476,,33.66378951072693
25.2,171298.1,171298.09568175444,0.0,13.353813886642456
25.3,151080.66,151080.66306193173,0.0,24.55986714363098
25.4,135638.58,136013.2287587677,0.2762,33.139931440353394
25.5,120581.99,120581.99173620185,0.0,44.47965407371521
25.8,,97795.58755288157,,80.11778974533081
40.2,173415.96,173415.96376451803,0.0,63.396470069885254
40.3,155458.61,155458.61213156683,0.0,116.09053802490234
40.4,140682.74,140682.73928209665,0.0,211.1717870235443
