problem,optimal solution,basic_VNS - solution,basic_VNS - deviation (%),basic_VNS - time (s),basic_VNS_with_3_neighbourhoods - solution,basic_VNS_with_3_neighbourhoods - deviation (%),basic_VNS_with_3_neighbourhoods - time (s)
10.2,163603.94,163603.9393516288,0.0,0.070443,163603.9393516288,0.0,0.207427
10.3,131581.79,131581.7826951448,0.0,0.095754,131581.7826951448,0.0,0.284425
10.4,107354.73,107354.7265872356,0.0,0.111994,107354.7265872356,0.0,0.333937
10.5,86028.88,86028.88187620931,0.0,0.118453,86028.88187620931,0.0,0.347181
10.8,,54628.749569641855,,0.076785,54628.749569641855,,0.228172
15.2,,167236.83618127473,,0.151599,167236.83618127473,,0.446253
15.3,,147872.06911446192,,0.220547,147872.06911446192,,0.639033
15.4,,128607.68472845631,,0.275151,128607.68472845631,,0.810013
15.5,,111464.7215877843,,0.321722,111464.7215877843,,0.946462
15.8,,78050.1039857115,,0.380085,78050.1039857115,,1.132646
20.2,168599.79,168599.7773367976,0.0,0.266852,168599.7773367976,0.0,0.789572
20.3,148048.3,148048.2905454758,0.0,0.398206,148048.2905454758,0.0,1.178814
20.4,131665.43,131665.42114923368,0.0,0.519975,131665.42114923368,0.0,1.553968
20.5,118934.97,118934.96628475966,0.0,0.640501,118934.96628475966,0.0,1.881908
20.8,,91454.8197419801,,0.898486,91454.8197419801,,2.675996
25.2,171298.1,171298.0828693258,0.0,0.427332,171298.0828693258,0.0,1.259823
25.3,151080.66,151080.65097345714,0.0,0.652209,151080.65097345714,0.0,1.938716
25.4,135638.58,135638.56884586238,0.0,0.884615,135638.56884586238,0.0,2.607688
25.5,120581.99,120581.98060344,0.0,1.087821,120581.98060344,0.0,3.241571
25.8,,97795.57899383023,,1.714643,97795.57899383023,,5.062406
40.2,173415.96,173415.94381646797,0.0,1.26002,173415.94381646797,0.0,3.741398
40.3,155458.61,155458.59349757375,0.0,2.035358,155458.59349757375,0.0,5.996101
40.4,140682.74,140682.71968351444,0.0,2.84251,140682.71968351444,0.0,8.402306
40.5,130384.74,130384.72481326383,0.0,3.669336,130384.72481326383,0.0,10.758455
40.8,,109971.90411685292,,6.261906,109971.90411685292,,18.834819
50.2,,174390.00642084194,,2.204707,174390.00642084194,,6.608257
50.3,156014.73,156014.70404503093,0.0,3.579419,156014.70404503093,0.0,10.640774
50.4,141153.38,141153.35456611417,0.0,5.1364,141153.35456611417,0.0,15.080847
50.5,129412.6,129412.57922729643,0.0,6.805304,129412.57922729643,0.0,19.523635
50.8,,109926.57611541831,,11.822835,110320.03823378726,,34.164627
100.2,176245.38,176245.32824854634,0.0,13.325026,176245.32824854634,0.0,39.419286
100.3,157869.93,157869.87367527082,0.0,22.13975,157869.87367527082,0.0,64.770486
100.4,143004.31,143004.25462563414,0.0,31.843107,143004.25462563414,0.0,93.270402
100.5,133482.57,133493.96007877003,0.0085,41.69955,133482.52556319747,0.0,120.967672
100.8,,114354.88047824403,,79.940741,114295.86889364556,,122.172455
200.2,178093.99,178093.8934284479,0.0001,89.147051,178093.8934284479,0.0001,120.045063
200.3,159725.11,159725.00989109906,0.0001,120.575485,159725.00989109906,0.0001,121.442919
200.4,,144508.11244206104,,121.784133,144508.11244206104,,120.517382
200.5,,136777.81722225389,,121.295178,136761.72731230763,,122.100873
200.8,,118147.85818749039,,123.37218,118825.23592773639,,131.899371
