problem,optimal solution,basic_VNS - solution,basic_VNS - deviation (%),basic_VNS - time (s),basic_VNS_divers_0_1 - solution,basic_VNS_divers_0_1 - deviation (%),basic_VNS_divers_0_1 - time (s),basic_VNS_divers_0_2 - solution,basic_VNS_divers_0_2 - deviation (%),basic_VNS_divers_0_2 - time (s),basic_VNS_divers_0_5 - solution,basic_VNS_divers_0_5 - deviation (%),basic_VNS_divers_0_5 - time (s)
10.2,163603.94,163603.9393516288,0.0,0.070965,163603.9393516288,0.0,0.100471,163603.9393516288,0.0,0.100714,163603.9393516288,0.0,0.100589
10.3,131581.79,131581.7826951448,0.0,0.09528,131581.7826951448,0.0,0.136426,131581.7826951448,0.0,0.136297,131581.7826951448,0.0,0.137792
10.4,107354.73,107354.7265872356,0.0,0.113769,107354.7265872356,0.0,0.162045,107354.7265872356,0.0,0.161724,107354.7265872356,0.0,0.162404
10.5,86028.88,86028.88187620931,0.0,0.118301,86028.88187620931,0.0,0.170395,86028.88187620931,0.0,0.17069,86028.88187620931,0.0,0.170954
10.8,,54628.749569641855,,0.077365,54628.749569641855,,0.108527,54628.749569641855,,0.108925,54628.749569641855,,0.108973
15.2,,167236.83618127473,,0.150257,167236.83618127473,,0.219391,167236.83618127473,,0.218802,167236.83618127473,,0.218271
15.3,,147872.06911446192,,0.212995,147872.06911446192,,0.312646,147872.06911446192,,0.310904,147872.06911446192,,0.311399
15.4,,128607.68472845631,,0.272221,128607.68472845631,,0.396133,128607.68472845631,,0.396983,128607.68472845631,,0.397391
15.5,,111464.7215877843,,0.318544,111464.7215877843,,0.472675,111464.7215877843,,0.470518,111464.7215877843,,0.471014
15.8,,78050.1039857115,,0.381316,78050.1039857115,,0.554824,78050.1039857115,,0.555615,78050.1039857115,,0.560719
20.2,168599.79,168599.7773367976,0.0,0.271933,168599.7773367976,0.0,0.39549,168599.7773367976,0.0,0.396386,168599.7773367976,0.0,0.395619
20.3,148048.3,148048.2905454758,0.0,0.410222,148048.2905454758,0.0,0.602862,148048.2905454758,0.0,0.601992,148048.2905454758,0.0,0.601567
20.4,131665.43,131665.42114923368,0.0,0.537527,131665.42114923368,0.0,0.78753,131665.42114923368,0.0,0.785448,131665.42114923368,0.0,0.786214
20.5,118934.97,118934.96628475966,0.0,0.677286,118934.96628475966,0.0,0.961124,118934.96628475966,0.0,0.966465,118934.96628475966,0.0,0.960222
20.8,,91454.8197419801,,0.925942,91454.8197419801,,1.358575,91454.8197419801,,1.352348,91454.8197419801,,1.353242
25.2,171298.1,171298.0828693258,0.0,0.440013,171298.0828693258,0.0,0.645673,171298.0828693258,0.0,0.641412,171298.0828693258,0.0,0.639151
25.3,151080.66,151080.65097345714,0.0,0.673034,151080.65097345714,0.0,0.979477,151080.65097345714,0.0,0.985143,151080.65097345714,0.0,0.970837
25.4,135638.58,135638.56884586238,0.0,0.902782,135638.56884586238,0.0,1.323072,135638.56884586238,0.0,1.333603,135638.56884586238,0.0,1.326299
25.5,120581.99,120581.98060344,0.0,1.119077,120581.98060344,0.0,1.66299,120581.98060344,0.0,1.669527,120581.98060344,0.0,1.648431
25.8,,97795.57899383023,,1.701215,97795.57899383023,,2.553643,97795.57899383023,,2.56234,97830.51896868262,,2.513267
40.2,173415.96,173415.94381646797,0.0,1.284554,173415.94381646797,0.0,1.899174,173415.94381646797,0.0,1.895946,173415.94381646797,0.0,1.906709
40.3,155458.61,155458.59349757375,0.0,2.054382,155458.59349757375,0.0,3.066542,155458.59349757375,0.0,3.013209,155458.59349757375,0.0,3.012498
40.4,140682.74,140682.71968351444,0.0,2.857903,140682.71968351444,0.0,4.227201,140682.71968351444,0.0,4.310667,140682.71968351444,0.0,4.197619
40.5,130384.74,130384.72481326383,0.0,3.646147,130384.72481326383,0.0,5.4289,130384.72481326383,0.0,5.443677,130384.72481326383,0.0,5.461151
40.8,,109971.90411685292,,6.254645,109971.90411685292,,9.441789,109971.90411685292,,9.248855,109971.90411685292,,9.260689
50.2,,174390.00642084194,,2.219574,174390.00642084194,,3.304492,174390.00642084194,,3.307599,174390.00642084194,,3.330842
50.3,156014.73,156014.70404503093,0.0,3.618716,156014.70404503093,0.0,5.331438,156014.70404503093,0.0,5.328414,156014.70404503093,0.0,5.37402
50.4,141153.38,141153.35456611417,0.0,5.098594,141153.35456611417,0.0,7.615933,141153.35456611417,0.0,7.668679,141153.35456611417,0.0,7.610606
50.5,129412.6,129412.57922729643,0.0,6.681876,129412.57922729643,0.0,10.038592,129412.57922729643,0.0,10.022083,129412.57922729643,0.0,9.974943
50.8,,110320.03823378726,,11.637331,110320.03823378726,,17.355721,109926.57611541831,,17.252751,110320.03823378726,,17.233483
100.2,176245.38,176245.32824854634,0.0,13.274172,176245.32824854634,0.0,19.798803,176245.32824854634,0.0,19.830191,176245.32824854634,0.0,19.818319
100.3,157869.93,157869.87367527082,0.0,21.775645,157869.87367527082,0.0,32.766449,157869.87367527082,0.0,32.529496,157869.87367527082,0.0,32.445777
100.4,143004.31,143004.25462563414,0.0,31.595068,143004.25462563414,0.0,46.700523,143004.25462563414,0.0,47.151696,143004.25462563414,0.0,46.816652
100.5,133482.57,133482.52556319747,0.0,41.803793,133482.52556319747,0.0,62.326753,133482.52556319747,0.0,62.984454,133482.52556319747,0.0,62.727548
100.8,,114295.86889364556,,79.585546,114295.86889364556,,120.068421,114295.86889364556,,120.647731,114295.86889364556,,120.713594
200.2,178093.99,178093.8934284479,0.0001,89.084449,178093.8934284479,0.0001,120.28469,178093.8934284479,0.0001,120.652203,178093.8934284479,0.0001,121.176164
200.3,159725.11,159725.00989109906,0.0001,120.605699,159725.00989109906,0.0001,122.118679,159725.00989109906,0.0001,121.669456,159725.00989109906,0.0001,121.712905
200.4,,144508.11244206104,,120.709125,144508.11244206104,,121.81695,144508.11244206104,,120.791307,144508.11244206104,,121.855339
200.5,,136777.81722225389,,121.751997,136761.72731230763,,120.579582,136761.72731230763,,120.394548,136761.72731230763,,123.535506
200.8,,118322.90753412205,,120.193767,118322.90753412205,,122.84201,118322.90753412205,,127.793469,118322.90753412205,,122.796391
