problem,BVNS shake=0 best_ls kmax=1 max_iter=3 random_init - deviation (%),BVNS shake=0 best_ls kmax=1 max_iter=3 random_init - time (s),BVNS shake=0 best_ls kmax=1 max_iter=3 grane_init - deviation (%),BVNS shake=0 best_ls kmax=1 max_iter=3 grane_init - time (s),BVNS shake=0 best_ls kmax=1 max_iter=3 uglovi_init - deviation (%),BVNS shake=0 best_ls kmax=1 max_iter=3 uglovi_init - time (s),BVNS shake=0 best_ls kmax=2 max_iter=3 random_init - deviation (%),BVNS shake=0 best_ls kmax=2 max_iter=3 random_init - time (s),BVNS shake=0 best_ls kmax=2 max_iter=3 grane_init - deviation (%),BVNS shake=0 best_ls kmax=2 max_iter=3 grane_init - time (s),BVNS shake=0 best_ls kmax=2 max_iter=3 uglovi_init - deviation (%),BVNS shake=0 best_ls kmax=2 max_iter=3 uglovi_init - time (s),BVNS shake=0 best_ls kmax=3 max_iter=3 random_init - deviation (%),BVNS shake=0 best_ls kmax=3 max_iter=3 random_init - time (s),BVNS shake=0 best_ls kmax=3 max_iter=3 grane_init - deviation (%),BVNS shake=0 best_ls kmax=3 max_iter=3 grane_init - time (s),BVNS shake=0 best_ls kmax=3 max_iter=3 uglovi_init - deviation (%),BVNS shake=0 best_ls kmax=3 max_iter=3 uglovi_init - time (s),BVNS shake=0 first_ls kmax=1 max_iter=3 random_init - deviation (%),BVNS shake=0 first_ls kmax=1 max_iter=3 random_init - time (s),BVNS shake=0 first_ls kmax=1 max_iter=3 grane_init - deviation (%),BVNS shake=0 first_ls kmax=1 max_iter=3 grane_init - time (s),BVNS shake=0 first_ls kmax=1 max_iter=3 uglovi_init - deviation (%),BVNS shake=0 first_ls kmax=1 max_iter=3 uglovi_init - time (s),BVNS shake=0 first_ls kmax=2 max_iter=3 random_init - deviation (%),BVNS shake=0 first_ls kmax=2 max_iter=3 random_init - time (s),BVNS shake=0 first_ls kmax=2 max_iter=3 grane_init - deviation (%),BVNS shake=0 first_ls kmax=2 max_iter=3 grane_init - time (s),BVNS shake=0 first_ls kmax=2 max_iter=3 uglovi_init - deviation (%),BVNS shake=0 first_ls kmax=2 max_iter=3 uglovi_init - time (s),BVNS shake=0 first_ls kmax=3 max_iter=3 random_init - deviation (%),BVNS shake=0 first_ls kmax=3 max_iter=3 random_init - time (s),BVNS shake=0 first_ls kmax=3 max_iter=3 grane_init - deviation (%),BVNS shake=0 first_ls kmax=3 max_iter=3 grane_init - time (s),BVNS shake=0 first_ls kmax=3 max_iter=3 uglovi_init - deviation (%),BVNS shake=0 first_ls kmax=3 max_iter=3 uglovi_init - time (s),BVNS shake=0.5 best_ls kmax=1 max_iter=3 random_init - deviation (%),BVNS shake=0.5 best_ls kmax=1 max_iter=3 random_init - time (s),BVNS shake=0.5 best_ls kmax=1 max_iter=3 grane_init - deviation (%),BVNS shake=0.5 best_ls kmax=1 max_iter=3 grane_init - time (s),BVNS shake=0.5 best_ls kmax=1 max_iter=3 uglovi_init - deviation (%),BVNS shake=0.5 best_ls kmax=1 max_iter=3 uglovi_init - time (s),BVNS shake=0.5 best_ls kmax=2 max_iter=3 random_init - deviation (%),BVNS shake=0.5 best_ls kmax=2 max_iter=3 random_init - time (s),BVNS shake=0.5 best_ls kmax=2 max_iter=3 grane_init - deviation (%),BVNS shake=0.5 best_ls kmax=2 max_iter=3 grane_init - time (s),BVNS shake=0.5 best_ls kmax=2 max_iter=3 uglovi_init - deviation (%),BVNS shake=0.5 best_ls kmax=2 max_iter=3 uglovi_init - time (s),BVNS shake=0.5 best_ls kmax=3 max_iter=3 random_init - deviation (%),BVNS shake=0.5 best_ls kmax=3 max_iter=3 random_init - time (s),BVNS shake=0.5 best_ls kmax=3 max_iter=3 grane_init - deviation (%),BVNS shake=0.5 best_ls kmax=3 max_iter=3 grane_init - time (s),BVNS shake=0.5 best_ls kmax=3 max_iter=3 uglovi_init - deviation (%),BVNS shake=0.5 best_ls kmax=3 max_iter=3 uglovi_init - time (s),BVNS shake=0.5 first_ls kmax=1 max_iter=3 random_init - deviation (%),BVNS shake=0.5 first_ls kmax=1 max_iter=3 random_init - time (s),BVNS shake=0.5 first_ls kmax=1 max_iter=3 grane_init - deviation (%),BVNS shake=0.5 first_ls kmax=1 max_iter=3 grane_init - time (s),BVNS shake=0.5 first_ls kmax=1 max_iter=3 uglovi_init - deviation (%),BVNS shake=0.5 first_ls kmax=1 max_iter=3 uglovi_init - time (s),BVNS shake=0.5 first_ls kmax=2 max_iter=3 random_init - deviation (%),BVNS shake=0.5 first_ls kmax=2 max_iter=3 random_init - time (s),BVNS shake=0.5 first_ls kmax=2 max_iter=3 grane_init - deviation (%),BVNS shake=0.5 first_ls kmax=2 max_iter=3 grane_init - time (s),BVNS shake=0.5 first_ls kmax=2 max_iter=3 uglovi_init - deviation (%),BVNS shake=0.5 first_ls kmax=2 max_iter=3 uglovi_init - time (s),BVNS shake=0.5 first_ls kmax=3 max_iter=3 random_init - deviation (%),BVNS shake=0.5 first_ls kmax=3 max_iter=3 random_init - time (s),BVNS shake=0.5 first_ls kmax=3 max_iter=3 grane_init - deviation (%),BVNS shake=0.5 first_ls kmax=3 max_iter=3 grane_init - time (s),BVNS shake=0.5 first_ls kmax=3 max_iter=3 uglovi_init - deviation (%),BVNS shake=0.5 first_ls kmax=3 max_iter=3 uglovi_init - time (s)
10.2,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01
10.3,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01
10.4,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01
10.5,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01
20.2,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.02
20.3,0.0,0.04,0.56,0.03,0.56,0.03,0.56,0.04,0.0,0.04,0.0,0.04,0.0,0.04,0.56,0.03,0.56,0.02,0.0,0.04,0.56,0.03,0.0,0.04,0.56,0.03,0.56,0.03,0.56,0.04,0.0,0.04,0.0,0.04,0.0,0.04,0.0,0.04,0.56,0.03,0.56,0.04,0.0,0.04,0.0,0.04,0.56,0.03,0.0,0.04,0.56,0.03,0.0,0.03,0.56,0.03,0.0,0.04,0.0,0.04,0.0,0.04,0.56,0.03,0.0,0.04,0.0,0.04,0.56,0.03,0.0,0.04
20.4,0.0,0.05,0.0,0.05,0.0,0.06,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.06,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.06,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.06,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.06,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05
20.5,0.0,0.08,0.0,0.07,0.0,0.06,0.0,0.06,0.0,0.07,0.0,0.06,0.0,0.06,0.65,0.07,0.0,0.06,0.0,0.06,0.0,0.07,0.0,0.08,0.0,0.06,0.0,0.07,0.0,0.08,0.0,0.06,0.0,0.06,0.0,0.07,0.65,0.07,0.0,0.07,0.0,0.07,0.0,0.06,0.0,0.06,0.0,0.06,0.0,0.08,0.0,0.09,0.0,0.07,0.0,0.07,0.0,0.06,0.0,0.06,0.65,0.08,0.0,0.07,0.0,0.07,0.65,0.05,0.0,0.07,0.0,0.06
25.2,0.0,0.04,0.0,0.04,0.0,0.03,0.0,0.04,0.0,0.04,0.0,0.04,0.0,0.04,0.0,0.04,0.0,0.03,0.0,0.04,0.0,0.04,0.0,0.04,0.0,0.04,0.0,0.04,0.0,0.04,0.0,0.04,0.0,0.04,0.0,0.04,0.0,0.04,0.0,0.03,0.0,0.03,0.0,0.04,0.0,0.04,0.0,0.04,0.0,0.04,0.0,0.03,0.0,0.04,0.0,0.04,0.0,0.03,0.0,0.03,0.0,0.04,0.0,0.04,0.0,0.04,0.0,0.05,0.0,0.03,0.0,0.04
25.3,0.0,0.06,0.0,0.06,0.0,0.05,0.0,0.06,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.06,0.0,0.06,0.0,0.08,0.0,0.06,0.0,0.05,0.0,0.06,0.0,0.06,0.0,0.08,0.0,0.09,0.0,0.05,0.0,0.05,0.0,0.06,0.0,0.07,0.0,0.05,0.0,0.08,0.0,0.06,1.38,0.06,0.0,0.09,0.0,0.06,0.0,0.09,0.0,0.07,0.0,0.06,0.0,0.06,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.08,0.0,0.05,0.0,0.06
