problem,GVNS shake=0 best_ls kmax=1 max_iter=3 random_init - deviation (%),GVNS shake=0 best_ls kmax=1 max_iter=3 random_init - time (s),GVNS shake=0 best_ls kmax=1 max_iter=3 grane_init - deviation (%),GVNS shake=0 best_ls kmax=1 max_iter=3 grane_init - time (s),GVNS shake=0 best_ls kmax=1 max_iter=3 uglovi_init - deviation (%),GVNS shake=0 best_ls kmax=1 max_iter=3 uglovi_init - time (s),GVNS shake=0 best_ls kmax=2 max_iter=3 random_init - deviation (%),GVNS shake=0 best_ls kmax=2 max_iter=3 random_init - time (s),GVNS shake=0 best_ls kmax=2 max_iter=3 grane_init - deviation (%),GVNS shake=0 best_ls kmax=2 max_iter=3 grane_init - time (s),GVNS shake=0 best_ls kmax=2 max_iter=3 uglovi_init - deviation (%),GVNS shake=0 best_ls kmax=2 max_iter=3 uglovi_init - time (s),GVNS shake=0 best_ls kmax=3 max_iter=3 random_init - deviation (%),GVNS shake=0 best_ls kmax=3 max_iter=3 random_init - time (s),GVNS shake=0 best_ls kmax=3 max_iter=3 grane_init - deviation (%),GVNS shake=0 best_ls kmax=3 max_iter=3 grane_init - time (s),GVNS shake=0 best_ls kmax=3 max_iter=3 uglovi_init - deviation (%),GVNS shake=0 best_ls kmax=3 max_iter=3 uglovi_init - time (s),GVNS shake=0 first_ls kmax=1 max_iter=3 random_init - deviation (%),GVNS shake=0 first_ls kmax=1 max_iter=3 random_init - time (s),GVNS shake=0 first_ls kmax=1 max_iter=3 grane_init - deviation (%),GVNS shake=0 first_ls kmax=1 max_iter=3 grane_init - time (s),GVNS shake=0 first_ls kmax=1 max_iter=3 uglovi_init - deviation (%),GVNS shake=0 first_ls kmax=1 max_iter=3 uglovi_init - time (s),GVNS shake=0 first_ls kmax=2 max_iter=3 random_init - deviation (%),GVNS shake=0 first_ls kmax=2 max_iter=3 random_init - time (s),GVNS shake=0 first_ls kmax=2 max_iter=3 grane_init - deviation (%),GVNS shake=0 first_ls kmax=2 max_iter=3 grane_init - time (s),GVNS shake=0 first_ls kmax=2 max_iter=3 uglovi_init - deviation (%),GVNS shake=0 first_ls kmax=2 max_iter=3 uglovi_init - time (s),GVNS shake=0 first_ls kmax=3 max_iter=3 random_init - deviation (%),GVNS shake=0 first_ls kmax=3 max_iter=3 random_init - time (s),GVNS shake=0 first_ls kmax=3 max_iter=3 grane_init - deviation (%),GVNS shake=0 first_ls kmax=3 max_iter=3 grane_init - time (s),GVNS shake=0 first_ls kmax=3 max_iter=3 uglovi_init - deviation (%),GVNS shake=0 first_ls kmax=3 max_iter=3 uglovi_init - time (s),GVNS shake=0.5 best_ls kmax=1 max_iter=3 random_init - deviation (%),GVNS shake=0.5 best_ls kmax=1 max_iter=3 random_init - time (s),GVNS shake=0.5 best_ls kmax=1 max_iter=3 grane_init - deviation (%),GVNS shake=0.5 best_ls kmax=1 max_iter=3 grane_init - time (s),GVNS shake=0.5 best_ls kmax=1 max_iter=3 uglovi_init - deviation (%),GVNS shake=0.5 best_ls kmax=1 max_iter=3 uglovi_init - time (s),GVNS shake=0.5 best_ls kmax=2 max_iter=3 random_init - deviation (%),GVNS shake=0.5 best_ls kmax=2 max_iter=3 random_init - time (s),GVNS shake=0.5 best_ls kmax=2 max_iter=3 grane_init - deviation (%),GVNS shake=0.5 best_ls kmax=2 max_iter=3 grane_init - time (s),GVNS shake=0.5 best_ls kmax=2 max_iter=3 uglovi_init - deviation (%),GVNS shake=0.5 best_ls kmax=2 max_iter=3 uglovi_init - time (s),GVNS shake=0.5 best_ls kmax=3 max_iter=3 random_init - deviation (%),GVNS shake=0.5 best_ls kmax=3 max_iter=3 random_init - time (s),GVNS shake=0.5 best_ls kmax=3 max_iter=3 grane_init - deviation (%),GVNS shake=0.5 best_ls kmax=3 max_iter=3 grane_init - time (s),GVNS shake=0.5 best_ls kmax=3 max_iter=3 uglovi_init - deviation (%),GVNS shake=0.5 best_ls kmax=3 max_iter=3 uglovi_init - time (s),GVNS shake=0.5 first_ls kmax=1 max_iter=3 random_init - deviation (%),GVNS shake=0.5 first_ls kmax=1 max_iter=3 random_init - time (s),GVNS shake=0.5 first_ls kmax=1 max_iter=3 grane_init - deviation (%),GVNS shake=0.5 first_ls kmax=1 max_iter=3 grane_init - time (s),GVNS shake=0.5 first_ls kmax=1 max_iter=3 uglovi_init - deviation (%),GVNS shake=0.5 first_ls kmax=1 max_iter=3 uglovi_init - time (s),GVNS shake=0.5 first_ls kmax=2 max_iter=3 random_init - deviation (%),GVNS shake=0.5 first_ls kmax=2 max_iter=3 random_init - time (s),GVNS shake=0.5 first_ls kmax=2 max_iter=3 grane_init - deviation (%),GVNS shake=0.5 first_ls kmax=2 max_iter=3 grane_init - time (s),GVNS shake=0.5 first_ls kmax=2 max_iter=3 uglovi_init - deviation (%),GVNS shake=0.5 first_ls kmax=2 max_iter=3 uglovi_init - time (s),GVNS shake=0.5 first_ls kmax=3 max_iter=3 random_init - deviation (%),GVNS shake=0.5 first_ls kmax=3 max_iter=3 random_init - time (s),GVNS shake=0.5 first_ls kmax=3 max_iter=3 grane_init - deviation (%),GVNS shake=0.5 first_ls kmax=3 max_iter=3 grane_init - time (s),GVNS shake=0.5 first_ls kmax=3 max_iter=3 uglovi_init - deviation (%),GVNS shake=0.5 first_ls kmax=3 max_iter=3 uglovi_init - time (s)
20.2,0.0,0.3,0.0,0.29,0.0,0.29,0.0,0.29,0.0,0.29,0.0,0.3,0.0,0.29,0.0,0.29,0.0,0.3,0.0,0.29,0.0,0.29,0.0,0.26,0.0,0.29,0.0,0.3,0.0,0.29,0.0,0.29,0.0,0.29,0.0,0.3,0.0,0.3,0.0,0.29,0.0,0.29,0.0,0.29,0.0,0.29,0.0,0.3,0.0,0.29,0.0,0.3,0.0,0.3,0.0,0.3,0.0,0.3,0.0,0.29,0.0,0.3,0.0,0.3,0.0,0.29,0.0,0.3,0.0,0.29,0.0,0.3
20.3,0.0,0.45,0.0,0.45,0.0,0.45,0.0,0.45,0.0,0.45,0.0,0.45,0.0,0.45,0.0,0.45,0.0,0.49,0.0,0.45,0.0,0.45,0.0,0.45,0.0,0.58,0.0,0.45,0.0,0.45,0.0,0.58,0.0,0.45,0.0,0.45,0.0,0.45,0.0,0.45,0.0,0.5,0.0,0.5,0.0,0.45,0.0,0.45,0.0,0.45,0.0,0.5,0.0,0.49,0.0,0.49,0.0,0.45,0.0,0.49,0.0,0.49,0.0,0.45,0.0,0.45,0.0,0.45,0.0,0.45,0.0,0.5
20.4,0.0,0.6,0.0,0.59,0.0,0.59,0.0,0.58,0.0,0.59,0.0,0.6,0.0,0.6,0.0,0.59,0.0,0.65,0.0,0.6,0.0,0.58,0.0,0.59,0.0,0.59,0.0,0.59,0.0,0.59,0.0,0.59,0.0,0.59,0.0,0.6,0.0,0.59,0.0,0.59,0.0,0.66,0.0,0.59,0.0,0.6,0.0,0.6,0.0,0.61,0.0,0.59,0.0,0.59,0.0,0.59,0.0,0.59,0.0,0.65,0.0,0.59,0.0,0.59,0.0,0.59,0.0,0.6,0.0,0.6,0.0,0.6
20.5,0.0,0.94,0.0,0.72,0.0,0.93,0.0,0.71,0.0,0.71,0.0,0.71,0.0,0.79,0.0,0.72,0.0,0.71,0.0,0.72,0.0,0.72,0.0,0.72,0.0,0.72,0.0,0.72,0.0,0.71,0.0,0.79,0.0,0.73,0.0,0.72,0.0,0.71,0.0,0.71,0.0,0.86,0.0,0.79,0.0,0.71,0.0,0.93,0.0,0.71,0.0,0.71,0.0,0.79,0.0,0.78,0.0,0.71,0.0,0.8,0.0,0.71,0.0,0.71,0.0,0.79,0.0,0.79,0.0,0.71,0.0,0.71
25.2,0.0,0.48,0.0,0.48,0.0,0.48,0.0,0.48,0.0,0.48,0.0,0.48,0.0,0.48,0.0,0.48,0.0,0.48,0.0,0.48,0.0,0.48,0.0,0.48,0.0,0.48,0.0,0.48,0.0,0.48,0.0,0.48,0.0,0.48,0.0,0.48,0.0,0.48,0.0,0.47,0.0,0.47,0.0,0.48,0.0,0.48,0.0,0.48,0.0,0.48,0.0,0.47,0.0,0.48,0.0,0.48,0.0,0.47,0.0,0.48,0.0,0.48,0.0,0.47,0.0,0.49,0.0,0.48,0.0,0.48,0.0,0.48
25.3,0.0,0.72,0.0,0.72,0.0,0.73,1.38,0.73,0.0,0.8,1.38,0.74,0.0,0.88,0.0,0.8,0.0,0.8,0.0,0.73,0.0,0.87,0.0,0.72,0.0,0.95,0.0,0.72,0.0,0.73,0.0,0.73,1.38,0.73,0.0,0.86,0.0,0.73,0.0,0.73,0.0,0.72,0.0,0.72,0.0,0.72,0.0,0.73,0.0,0.96,0.0,0.73,0.0,0.73,0.0,0.72,0.0,0.72,0.0,0.73,0.0,0.72,0.0,0.72,0.0,0.72,0.0,0.72,0.0,0.88,0.0,0.72
25.4,0.0,0.99,0.0,1.08,0.0,0.98,0.0,0.99,0.0,1.08,0.0,0.98,0.0,0.97,0.0,0.97,0.0,1.08,0.0,0.99,0.0,1.08,0.0,0.99,0.0,0.99,0.0,1.08,0.0,0.99,0.0,1.0,0.0,1.09,0.0,1.08,0.0,0.99,0.0,1.07,0.0,1.08,0.0,0.98,0.0,1.08,0.0,0.98,0.0,0.99,0.0,1.07,0.0,0.98,0.0,0.98,0.0,1.09,0.0,1.09,0.0,0.98,0.0,1.08,0.0,0.98,0.0,0.98,0.0,1.08,0.0,0.98
25.5,0.0,1.24,0.0,1.24,0.0,1.25,0.0,1.25,0.0,1.24,0.0,1.25,0.0,1.25,0.0,1.24,0.0,1.23,0.0,1.25,0.0,1.24,0.0,1.24,0.0,1.22,0.0,1.22,0.0,1.24,0.0,1.25,0.0,1.23,0.0,1.23,0.0,1.24,0.0,1.25,0.0,1.24,0.0,1.24,0.0,1.24,0.0,1.23,0.0,1.22,0.0,1.24,0.0,1.24,0.0,1.22,0.0,1.24,0.0,1.24,0.0,1.26,0.0,1.25,0.0,1.24,0.0,1.24,0.0,1.24,0.0,1.23
40.2,0.0,1.42,0.0,1.43,0.0,1.43,0.0,1.42,0.0,1.42,0.0,1.43,0.0,1.42,0.0,1.43,0.0,1.43,0.0,1.43,0.0,1.42,0.0,1.43,0.0,1.44,0.0,1.43,0.0,1.44,0.0,1.43,0.0,1.41,0.0,1.43,0.0,1.44,0.0,1.41,0.0,1.42,0.0,1.42,0.0,1.43,0.0,1.41,0.0,1.43,0.0,1.42,0.0,1.43,0.0,1.42,0.0,1.43,0.0,1.43,0.0,1.43,0.0,1.42,0.0,1.44,0.0,1.42,0.0,1.41,0.0,1.43
40.3,0.0,2.51,0.0,2.47,0.0,2.29,0.0,2.28,0.0,2.5,0.0,2.31,0.0,2.3,0.0,2.47,0.0,2.29,0.0,2.32,0.0,2.28,0.0,2.29,0.0,2.27,0.0,2.27,0.0,2.35,0.0,2.27,0.0,2.48,0.0,2.51,0.0,2.28,0.0,2.47,0.0,2.32,0.0,2.74,0.0,2.48,0.0,2.49,0.0,2.72,0.0,2.48,0.0,2.27,0.0,2.27,0.0,2.47,0.0,2.28,0.0,2.29,0.0,2.71,0.0,2.27,0.0,2.3,0.0,2.48,0.0,2.29
