problem,optimal solution,RVNS shake=0.5 kmax=3 max_iter=5 grane_init - solution,RVNS shake=0.5 kmax=3 max_iter=5 grane_init - deviation (%),RVNS shake=0.5 kmax=3 max_iter=5 grane_init - time (s)
10.2,163603.94,163603.94,0.0,0.01
10.3,131581.79,131581.78,0.0,0.01
10.4,107354.73,107354.73,0.0,0.01
10.5,86028.88,86028.88,0.0,0.01
10.8,,54628.75,,0.01
20.2,168599.79,168599.78,0.0,0.03
20.3,148048.3,148048.29,0.0,0.04
20.4,131665.43,131665.42,0.0,0.06
20.5,118934.97,118934.97,0.0,0.07
20.8,,91454.82,,0.1
25.2,171298.1,171298.08,0.0,0.04
25.3,151080.66,153172.09,1.38,0.07
25.4,135638.58,135638.57,0.0,0.09
25.5,120581.99,120581.98,0.0,0.12
25.8,,97795.58,,0.21
25.10,,86754.95,,0.24
40.2,173415.96,173415.94,0.0,0.12
40.3,155458.61,159197.6,2.41,0.19
40.4,140682.74,140682.72,0.0,0.35
40.5,130384.74,130384.72,0.0,0.41
40.8,,110358.25,,0.77
40.10,99452.67,100345.22,0.9,1.12
50.2,174390.03,174390.01,0.0,0.2
50.3,156014.73,156014.7,0.0,0.37
50.4,141153.38,141153.35,0.0,0.68
50.5,129412.6,129505.83,0.07,0.79
50.8,,110320.04,,1.43
50.10,100508.95,100644.72,0.14,1.93
100.2,176245.38,176245.33,0.0,1.35
100.3,157869.93,157869.87,0.0,2.3
100.4,143004.31,143004.25,0.0,3.75
100.5,133482.57,133493.96,0.01,4.78
100.8,,115180.52,,9.53
100.10,,104794.0,,15.83
200.2,178093.99,178093.89,0.0,8.26
200.3,159725.11,159725.01,0.0,14.46
200.4,,144580.02,,26.42
200.5,,136761.73,,33.78
200.8,,118322.91,,78.35
200.10,,107846.73,,122.25
mean,142275.45928571429,131736.84824999998,0.17535714285714285,8.2635
