problem,VND best_ls kmax=1 max_iter=10 random_init - deviation (%),VND best_ls kmax=1 max_iter=10 random_init - time (s),VND best_ls kmax=1 max_iter=10 min_max_init - deviation (%),VND best_ls kmax=1 max_iter=10 min_max_init - time (s),VND best_ls kmax=1 max_iter=10 angle_init - deviation (%),VND best_ls kmax=1 max_iter=10 angle_init - time (s),VND best_ls kmax=2 max_iter=10 random_init - deviation (%),VND best_ls kmax=2 max_iter=10 random_init - time (s),VND best_ls kmax=2 max_iter=10 min_max_init - deviation (%),VND best_ls kmax=2 max_iter=10 min_max_init - time (s),VND best_ls kmax=2 max_iter=10 angle_init - deviation (%),VND best_ls kmax=2 max_iter=10 angle_init - time (s),VND best_ls kmax=3 max_iter=10 random_init - deviation (%),VND best_ls kmax=3 max_iter=10 random_init - time (s),VND best_ls kmax=3 max_iter=10 min_max_init - deviation (%),VND best_ls kmax=3 max_iter=10 min_max_init - time (s),VND best_ls kmax=3 max_iter=10 angle_init - deviation (%),VND best_ls kmax=3 max_iter=10 angle_init - time (s),VND first_ls kmax=1 max_iter=10 random_init - deviation (%),VND first_ls kmax=1 max_iter=10 random_init - time (s),VND first_ls kmax=1 max_iter=10 min_max_init - deviation (%),VND first_ls kmax=1 max_iter=10 min_max_init - time (s),VND first_ls kmax=1 max_iter=10 angle_init - deviation (%),VND first_ls kmax=1 max_iter=10 angle_init - time (s),VND first_ls kmax=2 max_iter=10 random_init - deviation (%),VND first_ls kmax=2 max_iter=10 random_init - time (s),VND first_ls kmax=2 max_iter=10 min_max_init - deviation (%),VND first_ls kmax=2 max_iter=10 min_max_init - time (s),VND first_ls kmax=2 max_iter=10 angle_init - deviation (%),VND first_ls kmax=2 max_iter=10 angle_init - time (s),VND first_ls kmax=3 max_iter=10 random_init - deviation (%),VND first_ls kmax=3 max_iter=10 random_init - time (s),VND first_ls kmax=3 max_iter=10 min_max_init - deviation (%),VND first_ls kmax=3 max_iter=10 min_max_init - time (s),VND first_ls kmax=3 max_iter=10 angle_init - deviation (%),VND first_ls kmax=3 max_iter=10 angle_init - time (s)
40.2,0.0,0.2,0.0,0.2,0.0,0.21,0.0,0.21,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.21,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.19
40.3,2.41,0.33,2.41,0.3,2.41,0.3,2.41,0.31,2.41,0.3,2.41,0.32,2.41,0.31,2.41,0.3,2.41,0.3,2.41,0.3,2.41,0.3,2.41,0.32,2.41,0.33,2.41,0.31,2.41,0.32,0.0,0.33,2.41,0.31,2.41,0.33
40.4,0.0,0.47,0.0,0.48,0.0,0.48,0.0,0.48,0.0,0.48,0.0,0.49,0.0,0.5,0.0,0.48,0.0,0.51,0.0,0.48,0.0,0.48,0.0,0.52,0.0,0.47,0.0,0.48,0.0,0.51,0.0,0.43,0.0,0.48,0.0,0.45
40.5,0.0,0.61,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.64,0.0,0.58,0.0,0.6,0.0,0.62,0.0,0.67,0.0,0.6,0.0,0.65,0.0,0.6,0.0,0.6,0.0,0.65,0.0,0.61,0.0,0.6,0.0,0.61
40.10,0.0,1.34,0.0,1.51,0.0,1.45,0.0,1.53,0.0,1.51,0.0,1.64,0.0,1.48,0.0,1.51,0.0,1.43,0.0,1.49,0.0,1.51,0.0,1.5,0.0,1.47,0.0,1.51,0.0,1.68,0.0,1.51,0.0,1.5,0.0,1.39
50.2,0.0,0.36,0.0,0.35,0.0,0.34,0.0,0.35,0.0,0.35,0.0,0.35,0.0,0.35,0.0,0.34,0.0,0.34,0.0,0.34,0.0,0.35,0.0,0.35,0.0,0.35,0.0,0.35,0.0,0.35,0.0,0.35,0.0,0.34,0.0,0.34
50.3,2.22,0.53,2.22,0.53,0.0,0.56,0.0,0.66,2.22,0.54,0.0,0.61,0.0,0.58,2.22,0.54,2.22,0.53,2.22,0.53,2.22,0.54,0.0,0.61,0.0,0.63,2.22,0.53,2.22,0.54,0.0,0.64,2.22,0.54,0.0,0.63
50.4,0.0,0.86,0.0,0.97,0.0,0.82,0.0,0.83,0.0,0.96,0.0,0.8,0.0,0.79,0.0,0.97,2.05,0.83,0.0,0.79,0.0,0.96,0.0,0.85,0.0,0.82,0.0,0.96,0.0,0.89,0.0,0.82,0.0,0.96,0.0,0.82
50.5,0.07,1.25,0.07,1.14,0.0,1.18,0.07,1.12,0.07,1.16,0.07,1.2,0.07,1.14,0.07,1.14,0.07,1.04,0.0,1.11,0.07,1.15,0.07,1.05,0.07,1.05,0.07,1.15,0.07,1.18,0.07,1.11,0.07,1.14,0.07,1.1
50.10,0.83,3.03,0.0,2.92,0.14,2.81,0.0,2.96,0.0,2.92,0.0,2.63,0.0,3.04,0.0,2.91,0.0,2.92,0.0,2.79,0.0,2.9,0.0,3.01,0.0,2.84,0.0,2.89,0.14,2.56,0.14,2.78,0.0,2.9,0.0,2.88
