problem,optimal solution,rvns get_initial_solution_robust - solution,rvns get_initial_solution_robust - deviation (%),rvns get_initial_solution_robust - time (s)
10.2,163603.94,163603.94,0.0,0.01
10.3,131581.79,131581.78,0.0,0.01
10.4,107354.73,107354.73,0.0,0.01
10.5,86028.88,86028.88,0.0,0.01
10.8,,54628.75,,0.01
20.2,168599.79,168599.78,0.0,0.02
20.3,148048.3,148048.29,0.0,0.04
20.4,131665.43,131665.42,0.0,0.05
20.5,118934.97,118934.97,0.0,0.07
20.8,,91454.82,,0.13
25.2,171298.1,171298.08,0.0,0.05
25.3,151080.66,151080.65,0.0,0.06
25.4,135638.58,136687.39,0.77,0.09
25.5,120581.99,120581.98,0.0,0.15
25.8,,97830.52,,0.22
25.10,,86754.95,,0.24
40.2,173415.96,173415.94,0.0,0.12
40.3,155458.61,159197.6,2.41,0.21
40.4,140682.74,140682.72,0.0,0.37
40.5,130384.74,130384.72,0.0,0.41
40.8,,109971.9,,0.76
40.10,99452.67,99452.66,0.0,0.95
50.2,174390.03,174390.01,0.0,0.22
50.3,156014.73,156014.7,0.0,0.35
50.4,141153.38,144051.8,2.05,0.5
50.5,129412.6,129505.83,0.07,0.74
50.8,,110320.04,,1.62
50.10,100508.95,100644.72,0.14,1.95
100.2,176245.38,176245.33,0.0,1.46
100.3,157869.93,157869.87,0.0,2.09
100.4,143004.31,143004.25,0.0,3.32
100.5,133482.57,133493.96,0.01,4.81
100.8,,115143.55,,10.78
100.10,,104794.0,,15.22
200.2,178093.99,178093.89,0.0,10.13
200.3,159725.11,159725.01,0.0,14.63
200.4,,144580.02,,26.36
200.5,,136761.73,,36.87
200.8,,118322.91,,77.64
200.10,,108913.53,,106.99
mean,142275.45928571429,131777.8905,0.19464285714285712,7.991749999999999
