problem,optimal solution,basic_VNS - solution,basic_VNS - deviation (%),basic_VNS - time (s)
10.2,163603.94,163603.94316823076,0.0,1.191833
10.3,131581.79,131581.786946515,0.0,1.884196
10.4,107354.73,107354.72987314493,0.0,2.255242
10.5,86028.88,86028.88433015873,0.0,2.40723
10.8,,54628.751329903804,,1.462297
15.2,,167236.84180780375,,4.564359
15.3,,147872.07474300812,,7.586395
15.4,,128607.69096199537,,10.254503
15.5,,111464.7271523484,,12.809369
15.8,,78050.10836156514,,16.121426
20.2,168599.79,168599.78613799083,0.0,11.680862
20.3,148048.3,148048.29925765764,0.0,19.850239
20.4,131665.43,131665.4300892154,0.0,28.789757
20.5,118934.97,118934.97445820276,0.0,38.272271
20.8,,91454.8260995476,,59.49626
25.2,171298.1,171298.09568175444,0.0,25.393969
25.3,151080.66,151080.66306193173,0.0,45.153629
25.4,135638.58,135638.58089233373,0.0,65.908557
25.5,120581.99,120581.99173620185,0.0,91.372292
25.8,,97830.5276091368,,158.312
40.2,173415.96,173415.96376451803,0.0,132.192194
40.3,155458.61,155458.61213156683,0.0,234.338774
40.4,140682.74,140682.73928209665,0.0,364.082923
