problem,optimal solution,basic_VNS_robust_init - solution,basic_VNS_robust_init - deviation (%),basic_VNS_robust_init - time (s),basic_VNS_median_init - solution,basic_VNS_median_init - deviation (%),basic_VNS_median_init - time (s)
10.2,163603.94,163603.94316823076,0.0,1.190709,163603.94316823076,0.0,1.212958
10.3,131581.79,131581.786946515,0.0,1.838534,131581.786946515,0.0,1.785858
10.4,107354.73,107354.72987314493,0.0,2.230705,107354.72987314493,0.0,2.184182
10.5,86028.88,86028.88433015873,0.0,2.391892,86028.88433015873,0.0,2.347452
10.8,,54628.751329903804,,1.454165,54628.751329903804,,1.454239
15.2,,167236.84180780375,,4.505181,167236.84180780375,,4.511925
15.3,,147872.07474300812,,7.693296,147872.07474300812,,7.553123
15.4,,128607.69096199537,,10.45437,128607.69096199537,,10.44114
15.5,,111464.7271523484,,12.705599,111464.7271523484,,12.437316
15.8,,78050.10836156514,,15.994206,78050.10836156514,,15.54803
