problem,basic_VNS - get_initial_solution_random - deviation (%),basic_VNS - get_initial_solution_random - time (s),basic_VNS - get_initial_solution_robust - deviation (%),basic_VNS - get_initial_solution_robust - time (s),basic_VNS - get_initial_solution_median - deviation (%),basic_VNS - get_initial_solution_median - time (s),basic_VNS - get_initial_solution_circle - deviation (%),basic_VNS - get_initial_solution_circle - time (s)
10.2,0.0,0.02,0.0,0.01,0.0,0.01,0.0,0.01
10.3,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.02
10.4,0.0,0.03,0.0,0.02,0.0,0.02,0.0,0.02
10.5,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.02
20.2,0.0,0.06,0.0,0.06,0.0,0.06,0.0,0.06
20.3,0.0,0.09,0.0,0.09,0.0,0.09,0.0,0.08
20.4,0.0,0.12,0.0,0.11,0.0,0.11,0.0,0.12
20.5,0.65,0.15,0.0,0.14,0.0,0.14,0.0,0.14
25.2,0.0,0.09,0.0,0.09,0.0,0.09,0.0,0.09
25.3,0.0,0.14,0.0,0.14,0.0,0.14,0.0,0.16
25.4,0.0,0.2,0.0,0.19,0.0,0.2,0.0,0.2
25.5,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.25
40.2,0.0,0.28,0.0,0.27,0.0,0.28,0.0,0.28
40.3,0.0,0.44,0.0,0.44,0.0,0.44,0.0,0.45
40.4,0.0,0.66,0.0,0.67,0.0,0.64,0.0,0.61
40.5,0.0,0.88,0.0,0.82,0.0,0.84,0.0,0.85
40.10,0.0,1.95,0.0,1.89,0.0,1.8,0.0,1.9
50.2,0.0,0.48,0.0,0.47,0.0,0.48,0.0,0.46
50.3,0.0,0.8,0.0,0.79,0.0,0.79,0.0,0.77
50.4,0.0,1.13,0.0,1.16,0.0,1.08,0.0,1.16
50.5,0.07,1.47,0.07,1.46,0.0,1.4,0.0,1.46
50.10,0.0,4.0,0.14,3.52,0.0,3.59,0.0,3.84
100.2,0.0,2.9,0.0,2.84,0.0,2.84,0.0,2.92
100.3,0.0,5.1,0.0,4.67,0.0,4.79,0.0,5.21
100.4,0.06,7.12,0.0,7.03,0.0,7.05,0.06,6.9
100.5,0.0,10.13,0.01,9.26,0.0,9.71,0.0,9.22
200.2,0.0,18.75,0.0,18.67,0.0,19.58,0.0,19.12
200.3,0.0,32.67,0.0,31.95,0.0,32.66,0.0,34.88
mean,0.027857142857142858,3.2125,0.007857142857142858,3.1089285714285713,0.0,3.1828571428571424,0.002142857142857143,3.2571428571428567
