problem,optimal solution,basic_VNS_best_improvement - solution,basic_VNS_best_improvement - deviation (%),basic_VNS_best_improvement - time (s),basic_VNS_first_improvement - solution,basic_VNS_first_improvement - deviation (%),basic_VNS_first_improvement - time (s)
10.2,163603.94,163603.94316823076,0.0,1.022387,163603.94316823076,0.0,0.226886
10.3,131581.79,131581.78694651497,0.0,1.366729,133440.54642624405,1.4126,0.252968
10.4,107354.73,107354.72987314494,0.0,1.554055,107354.72987314494,0.0,0.273977
10.5,86028.88,86028.88433015867,0.0,1.567179,86028.88433015867,0.0,0.250493
10.8,,54628.75132990381,,0.863068,54628.75132990381,,0.23284
15.2,,167236.84180780363,,3.157549,167236.84180780363,,0.676567
15.3,,147872.07474300815,,4.568546,147872.07474300815,,1.074749
15.4,,128607.6909619953,,5.532657,131062.4761440491,,0.327923
15.5,,111464.72715234838,,6.429585,111464.72715234838,,0.796497
15.8,,78050.10836156522,,6.596283,78050.10836156522,,1.285375
20.2,168599.79,168599.7861379909,0.0,7.370727,168599.7861379909,0.0,1.377749
20.3,148048.3,148048.29925765764,0.0,11.084738,149084.61244107515,0.7,1.736066
20.4,131665.43,131665.43008921543,0.0,13.805231,134946.60544622145,2.4921,2.305238
20.5,118934.97,118934.97445820284,0.0,16.416315,119702.39082235264,0.6452,2.530685
20.8,,91454.8260995476,,20.374087,92611.08253415012,,2.009642
25.2,171298.1,171298.09568175423,0.0,13.971739,171298.09568175423,0.0,2.662383
25.3,151080.66,151080.66306193167,0.0,22.447236,151080.66306193167,0.0,4.394651
25.4,135638.58,135638.58089233382,0.0,28.932713,136687.39659914002,0.7732,2.693725
25.5,120581.99,120581.99173620193,0.0,34.812567,120581.99173620193,0.0,6.22473
25.8,,97795.58755288152,,46.166683,97795.58755288152,,7.098934
40.2,173415.96,173415.96376451716,0.0,59.082864,176246.39785362355,1.6322,7.574353
40.3,155458.61,155458.6121315662,0.0,93.937693,156327.7119547124,0.5591,15.985026
40.4,140682.74,140682.73928209656,0.0,128.768134,145453.75761074037,3.3913,5.941234
40.5,130384.74,130384.74338872086,0.0,155.322634,136453.81006536147,4.6547,9.674279
40.8,,109971.92232993072,,242.255366,113726.8759699168,,17.570493
