problem,optimal solution,basic_VNS_best_improvement - solution,basic_VNS_best_improvement - deviation (%),basic_VNS_best_improvement - time (s),basic_VNS_first_improvement - solution,basic_VNS_first_improvement - deviation (%),basic_VNS_first_improvement - time (s)
10.2,163603.94,163603.9393516288,0.0,0.070408,163603.9393516288,0.0,0.016608
10.3,131581.79,131581.7826951448,0.0,0.094481,131581.7826951448,0.0,0.023891
10.4,107354.73,107354.7265872356,0.0,0.111596,107354.7265872356,0.0,0.020663
10.5,86028.88,86028.88187620931,0.0,0.117576,86028.88187620931,0.0,0.025074
10.8,,54628.749569641855,,0.075919,54628.749569641855,,0.016196
15.2,,167236.83618127473,,0.147079,167236.83618127473,,0.033475
15.3,,147872.06911446192,,0.215967,147872.06911446192,,0.046501
15.4,,128607.68472845631,,0.27446,128607.68472845631,,0.056809
15.5,,111464.7215877843,,0.324842,111464.7215877843,,0.065313
15.8,,78050.1039857115,,0.383289,78050.1039857115,,0.080483
20.2,168599.79,168599.7773367976,0.0,0.266079,168599.7773367976,0.0,0.05012
20.3,148048.3,148048.2905454758,0.0,0.399704,148048.2905454758,0.0,0.076911
20.4,131665.43,131665.42114923368,0.0,0.521524,131665.42114923368,0.0,0.070637
20.5,118934.97,118934.96628475966,0.0,0.651827,119702.38236431827,0.6452,0.091711
20.8,,91454.8197419801,,0.901072,91454.8197419801,,0.144106
25.2,171298.1,171298.0828693258,0.0,0.425979,171298.0828693258,0.0,0.081255
25.3,151080.66,151080.65097345714,0.0,0.662445,151080.65097345714,0.0,0.101671
25.4,135638.58,135638.56884586238,0.0,0.890701,135638.56884586238,0.0,0.148764
25.5,120581.99,120581.98060344,0.0,1.099023,120581.98060344,0.0,0.186163
25.8,,97795.57899383023,,1.700829,97795.57899383023,,0.251969
40.2,173415.96,173415.94381646797,0.0,1.257605,173415.94381646797,0.0,0.19053
40.3,155458.61,155458.59349757375,0.0,2.009382,155458.59349757375,0.0,0.330792
40.4,140682.74,140682.71968351444,0.0,2.887395,142866.32782523165,1.5521,0.376613
40.5,130384.74,130384.72481326383,0.0,3.657773,130596.77244386624,0.1626,0.342939
40.8,,109971.90411685292,,6.304237,110288.40329052949,,0.49511
50.2,,174390.00642084194,,2.228236,174390.00642084194,,0.289871
50.3,156014.73,156014.70404503093,0.0,3.595661,156014.70404503093,0.0,0.676496
50.4,141153.38,141153.35456611417,0.0,5.074352,144377.15888363175,2.2839,0.624018
50.5,129412.6,129412.57922729643,0.0,6.730446,129412.57922729643,0.0,0.944167
50.8,,110320.03823378726,,11.612632,110801.39172679766,,1.511795
100.2,176245.38,176245.32824854634,0.0,13.259566,176245.32824854634,0.0,1.533448
100.3,157869.93,157869.87367527082,0.0,21.983325,157946.94548472873,0.0488,3.158423
100.4,143004.31,143004.25462563414,0.0,31.465287,144012.85650255904,0.7053,3.057809
100.5,133482.57,133482.52556319747,0.0,42.169297,133665.46917917737,0.137,4.355998
100.8,,114354.88047824403,,78.779335,117053.91662729946,,4.461583
200.2,178093.99,178093.8934284479,0.0001,89.410201,180271.13659162863,1.2225,9.989101
200.3,159725.11,159725.00989109906,0.0001,120.942538,160750.68137573134,0.6421,9.499486
200.4,,144508.11244206104,,120.199691,144726.2339914766,,19.418861
200.5,,136777.81722225389,,121.256711,139264.28858231718,,13.635647
200.8,,118467.21310831838,,120.278265,119798.8138589305,,29.966229
