problem,optimal solution,basic_VNS_with_parts_in_C - solution,basic_VNS_with_parts_in_C - deviation (%),basic_VNS_with_parts_in_C - time (s)
10.2,163603.94,163603.9393516288,0.0,0.297954
10.3,131581.79,131581.7826951448,0.0,0.350193
10.4,107354.73,107354.7265872356,0.0,0.406616
10.5,86028.88,86028.88187620931,0.0,0.423602
10.8,,54628.749569641855,,0.259386
15.2,,167236.83618127473,,0.470493
15.3,,147872.06911446192,,0.618568
15.4,,128607.68472845631,,0.792755
15.5,,111464.7215877843,,0.875427
15.8,,78050.1039857115,,0.8569
20.2,168599.79,168599.7773367976,0.0,0.658988
20.3,148048.3,148883.98407825918,0.5645,0.443709
20.4,131665.43,131665.42114923368,0.0,1.079399
20.5,118934.97,118934.96628475966,0.0,1.431918
20.8,,91454.8197419801,,1.844688
25.2,171298.1,171298.0828693258,0.0,0.910933
25.3,151080.66,151080.65097345714,0.0,1.240935
25.4,135638.58,135638.56884586238,0.0,1.33425
25.5,120581.99,120581.98060344,0.0,1.950747
25.8,,97795.57899383023,,2.59548
40.2,173415.96,173415.94381646797,0.0,1.88813
40.3,155458.61,155458.59349757375,0.0,2.924945
40.4,140682.74,140682.71968351444,0.0,4.407155
40.5,130384.74,130384.72481326383,0.0,3.382766
40.8,,109971.90411685292,,5.989507
50.2,,174390.00642084194,,2.595584
50.3,156014.73,156014.70404503093,0.0,3.77251
50.4,141153.38,141153.35456611417,0.0,5.192362
50.5,129412.6,129412.57922729643,0.0,6.013393
50.8,,110430.38080479248,,10.311079
100.2,176245.38,176245.32824854634,0.0,9.948507
100.3,157869.93,157869.87367527082,0.0,9.675309
100.4,143004.31,143004.25462563414,0.0,22.236819
100.5,133482.57,133482.52556319747,0.0,29.210827
100.8,,115143.55272444824,,54.124292
200.2,178093.99,178094.28049245785,0.0002,58.554241
200.3,159725.11,159725.00989109906,0.0001,112.41369
200.4,,144661.88725340646,,63.108619
200.5,,137250.83592411655,,85.976459
200.8,,117907.56583601663,,120.417874
