problem,optimal solution,basic_VNS - solution,basic_VNS - deviation (%),basic_VNS - time (s),basic_VNS_with_parts_in_C - solution,basic_VNS_with_parts_in_C - deviation (%),basic_VNS_with_parts_in_C - time (s)
10.2,163603.94,163603.94316823076,0.0,0.239806,163603.9393516288,0.0,0.018323
10.3,131581.79,131581.78694651497,0.0,0.31019,131581.7826951448,0.0,0.025893
10.4,107354.73,107354.72987314496,0.0,0.361431,107354.7265872356,0.0,0.031411
10.5,86028.88,86028.88433015869,0.0,0.352441,86028.88187620931,0.0,0.033858
10.8,,54628.75132990381,,0.204286,54628.749569641855,,0.021793
15.2,,167236.84180780363,,0.770828,167236.83618127473,,0.043816
15.3,,147872.07474300815,,1.11767,147872.06911446192,,0.064671
15.4,,128607.6909619953,,1.376814,128607.68472845631,,0.081286
15.5,,111464.72715234837,,1.552482,111464.7215877843,,0.094213
15.8,,78050.10836156523,,1.775334,78050.1039857115,,0.114408
20.2,168599.79,168599.78613799086,0.0,1.805304,168599.7773367976,0.0,0.075622
20.3,148048.3,148048.29925765764,0.0,2.745774,148048.2905454758,0.0,0.123596
20.4,131665.43,131665.43008921546,0.0,3.397476,131665.42114923368,0.0,0.159162
20.5,118934.97,118934.97445820285,0.0,4.111894,118934.96628475966,0.0,0.188838
20.8,,91454.82609954762,,5.368242,91454.8197419801,,0.282295
25.2,171298.1,171298.09568175432,0.0,3.480792,171298.0828693258,0.0,0.125565
25.3,151080.66,151080.66306193176,0.0,5.364802,151080.65097345714,0.0,0.194391
25.4,135638.58,135638.58089233382,0.0,7.029927,135638.56884586238,0.0,0.280411
25.5,120581.99,120581.99173620186,0.0,9.15967,120581.98060344,0.0,0.339788
25.8,,97830.52760913665,,12.781441,97795.57899383023,,0.507835
40.2,173415.96,173415.9637645172,0.0,14.096552,173415.94381646797,0.0,0.398991
40.3,155458.61,155458.61213156622,0.0,22.200983,155458.59349757375,0.0,0.646404
40.4,140682.74,140682.7392820966,0.0,30.458055,140682.71968351444,0.0,0.868787
40.5,130384.74,130384.74338872089,0.0,38.463199,130384.72481326383,0.0,1.12676
40.8,,109971.9223299307,,61.316585,109971.90411685292,,1.967085
