problem,BVNS shake=0 best_ls kmax=1 max_iter=3 uglovi_init - time (s),BVNS shake=0.5 best_ls kmax=2 max_iter=3 grane_init - time (s),BVNS shake=0 first_ls kmax=3 max_iter=3 grane_init - time (s),BVNS shake=0.5 best_ls kmax=3 max_iter=3 random_init - time (s),BVNS shake=0.5 first_ls kmax=2 max_iter=3 random_init - time (s),BVNS shake=0 best_ls kmax=2 max_iter=3 grane_init - time (s),BVNS shake=0.5 first_ls kmax=1 max_iter=3 grane_init - time (s),BVNS shake=0 first_ls kmax=2 max_iter=3 grane_init - time (s),BVNS shake=0.5 best_ls kmax=1 max_iter=3 grane_init - time (s),BVNS shake=0.5 best_ls kmax=3 max_iter=3 grane_init - time (s),BVNS shake=0 first_ls kmax=3 max_iter=3 uglovi_init - time (s),BVNS shake=0.5 first_ls kmax=1 max_iter=3 random_init - time (s),BVNS shake=0 first_ls kmax=1 max_iter=3 grane_init - time (s),BVNS shake=0.5 best_ls kmax=2 max_iter=3 uglovi_init - time (s),BVNS shake=0 best_ls kmax=1 max_iter=3 grane_init - time (s),BVNS shake=0 best_ls kmax=3 max_iter=3 grane_init - time (s),BVNS shake=0.5 best_ls kmax=3 max_iter=3 uglovi_init - time (s),BVNS shake=0.5 best_ls kmax=2 max_iter=3 random_init - time (s),BVNS shake=0.5 first_ls kmax=3 max_iter=3 uglovi_init - time (s),BVNS shake=0.5 best_ls kmax=1 max_iter=3 random_init - time (s),BVNS shake=0.5 first_ls kmax=2 max_iter=3 grane_init - time (s),BVNS shake=0 best_ls kmax=3 max_iter=3 random_init - time (s),BVNS shake=0 best_ls kmax=3 max_iter=3 uglovi_init - time (s),BVNS shake=0.5 first_ls kmax=3 max_iter=3 grane_init - time (s),BVNS shake=0 best_ls kmax=1 max_iter=3 random_init - time (s),BVNS shake=0.5 first_ls kmax=3 max_iter=3 random_init - time (s),BVNS shake=0 first_ls kmax=3 max_iter=3 random_init - time (s),BVNS shake=0 first_ls kmax=2 max_iter=3 random_init - time (s),BVNS shake=0 first_ls kmax=1 max_iter=3 uglovi_init - time (s),BVNS shake=0 first_ls kmax=2 max_iter=3 uglovi_init - time (s),BVNS shake=0 first_ls kmax=1 max_iter=3 random_init - time (s),BVNS shake=0.5 first_ls kmax=1 max_iter=3 uglovi_init - time (s),BVNS shake=0 best_ls kmax=2 max_iter=3 uglovi_init - time (s),BVNS shake=0 best_ls kmax=2 max_iter=3 random_init - time (s),BVNS shake=0.5 first_ls kmax=2 max_iter=3 uglovi_init - time (s),BVNS shake=0.5 best_ls kmax=1 max_iter=3 uglovi_init - time (s)
10.2,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
10.3,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
10.4,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
10.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
20.2,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
20.3,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.03,0.04,0.02,0.03,0.04,0.04,0.04,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
20.4,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
20.5,0.06,0.06,0.06,0.08,0.08,0.07,0.06,0.07,0.07,0.09,0.07,0.07,0.07,0.06,0.07,0.07,0.07,0.06,0.06,0.07,0.07,0.06,0.06,0.07,0.08,0.05,0.06,0.06,0.08,0.08,0.06,0.06,0.06,0.06,0.07,0.07
25.2,0.03,0.04,0.04,0.04,0.04,0.04,0.03,0.04,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.04,0.05,0.04,0.04,0.04,0.04,0.04,0.03,0.04,0.04,0.04,0.03
25.3,0.05,0.06,0.05,0.09,0.05,0.05,0.06,0.06,0.07,0.06,0.05,0.07,0.06,0.06,0.06,0.06,0.09,0.08,0.06,0.06,0.05,0.05,0.06,0.05,0.06,0.08,0.09,0.06,0.05,0.08,0.08,0.06,0.05,0.06,0.05,0.05
