problem,BVNS shake=0.5 best_ls kmax=1 max_iter=3 grane_init - time (s),BVNS shake=0 best_ls kmax=1 max_iter=3 grane_init - time (s),BVNS shake=0 best_ls kmax=2 max_iter=3 grane_init - time (s),BVNS shake=0 first_ls kmax=1 max_iter=3 grane_init - time (s),BVNS shake=0.5 best_ls kmax=3 max_iter=3 grane_init - time (s),BVNS shake=0 first_ls kmax=2 max_iter=3 grane_init - time (s),BVNS shake=0.5 best_ls kmax=2 max_iter=3 grane_init - time (s),BVNS shake=0 best_ls kmax=1 max_iter=3 random_init - time (s),BVNS shake=0 first_ls kmax=1 max_iter=3 random_init - time (s),BVNS shake=0.5 best_ls kmax=3 max_iter=3 uglovi_init - time (s)
20.2,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
20.3,0.03,0.03,0.03,0.03,0.04,0.02,0.03,0.03,0.04,0.04
20.4,0.05,0.05,0.06,0.06,0.05,0.04,0.05,0.05,0.06,0.05
20.5,0.06,0.07,0.06,0.07,0.06,0.06,0.07,0.06,0.06,0.06
25.2,0.04,0.03,0.04,0.03,0.03,0.04,0.04,0.04,0.04,0.04
25.3,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.06,0.05
25.4,0.1,0.1,0.1,0.09,0.11,0.1,0.09,0.1,0.09,0.09
25.5,0.13,0.11,0.11,0.13,0.12,0.12,0.12,0.14,0.12,0.15
40.2,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.12,0.13
40.3,0.25,0.25,0.24,0.22,0.21,0.24,0.23,0.23,0.2,0.19
40.4,0.31,0.3,0.31,0.3,0.33,0.33,0.33,0.28,0.3,0.35
40.5,0.46,0.39,0.39,0.4,0.4,0.38,0.47,0.41,0.37,0.39
40.10,1.2,0.99,0.99,0.95,0.95,0.99,1.03,1.18,0.91,0.91
50.2,0.18,0.19,0.19,0.17,0.18,0.18,0.18,0.18,0.22,0.19
50.3,0.38,0.42,0.36,0.39,0.45,0.38,0.44,0.31,0.34,0.36
50.4,0.66,0.64,0.61,0.55,0.6,0.5,0.5,0.47,0.5,0.54
50.5,0.67,0.74,0.69,0.62,0.65,0.76,0.9,0.89,0.74,0.57
50.10,1.74,2.05,1.67,2.15,2.14,1.75,1.95,1.89,2.16,2.06
100.2,1.22,1.1,1.19,1.11,1.18,1.2,1.37,1.26,1.37,1.07
100.3,2.21,2.1,2.32,2.53,2.32,2.32,1.98,1.99,2.11,2.32
100.4,3.04,3.45,3.05,3.31,3.32,4.12,3.82,4.41,3.33,3.79
100.5,4.71,4.72,4.6,4.53,4.53,5.12,3.97,4.38,4.42,4.69
200.2,7.28,7.22,8.15,7.38,7.36,7.51,7.41,7.16,7.59,8.03
200.3,13.6,13.76,13.7,13.88,13.87,13.06,14.33,14.03,14.71,13.89
mean,1.6041666666666667,1.6208333333333333,1.6270833333333332,1.6287500000000001,1.6291666666666664,1.6420833333333338,1.6458333333333333,1.6529166666666668,1.6616666666666664,1.6658333333333335
