problem,RVNS shake=0.5 kmax=3 max_iter=5 grane_init - time (s),RVNS shake=0 kmax=3 max_iter=5 grane_init - time (s),RVNS shake=0 kmax=1 max_iter=5 grane_init - time (s),RVNS shake=0.5 kmax=1 max_iter=5 grane_init - time (s),RVNS shake=0.5 kmax=2 max_iter=5 grane_init - time (s),RVNS shake=0 kmax=2 max_iter=5 grane_init - time (s),RVNS shake=0 kmax=3 max_iter=5 uglovi_init - time (s),RVNS shake=0 kmax=1 max_iter=5 uglovi_init - time (s),RVNS shake=0.5 kmax=2 max_iter=5 random_init - time (s),RVNS shake=0 kmax=2 max_iter=5 random_init - time (s),RVNS shake=0.5 kmax=1 max_iter=5 uglovi_init - time (s),RVNS shake=0 kmax=3 max_iter=5 random_init - time (s),RVNS shake=0.5 kmax=2 max_iter=5 uglovi_init - time (s),RVNS shake=0.5 kmax=3 max_iter=5 uglovi_init - time (s),RVNS shake=0.5 kmax=1 max_iter=5 random_init - time (s),RVNS shake=0 kmax=2 max_iter=5 uglovi_init - time (s),RVNS shake=0 kmax=1 max_iter=5 random_init - time (s),RVNS shake=0.5 kmax=3 max_iter=5 random_init - time (s)
40.2,0.12,0.15,0.13,0.14,0.15,0.12,0.14,0.13,0.14,0.12,0.13,0.12,0.14,0.13,0.13,0.12,0.12,0.12
40.3,0.2,0.18,0.24,0.27,0.18,0.19,0.26,0.29,0.21,0.24,0.19,0.21,0.21,0.22,0.22,0.23,0.21,0.26
40.4,0.33,0.31,0.46,0.38,0.33,0.43,0.33,0.29,0.29,0.38,0.42,0.33,0.34,0.33,0.34,0.35,0.31,0.31
40.5,0.39,0.44,0.42,0.46,0.42,0.44,0.48,0.44,0.39,0.44,0.56,0.41,0.43,0.46,0.48,0.52,0.46,0.48
40.10,1.19,1.02,1.09,1.02,1.19,1.24,1.23,1.08,0.91,1.08,1.04,1.07,1.31,1.08,1.15,1.25,0.99,1.07
50.2,0.21,0.24,0.2,0.21,0.24,0.2,0.21,0.22,0.25,0.24,0.23,0.23,0.22,0.21,0.23,0.26,0.23,0.24
50.3,0.36,0.44,0.37,0.46,0.4,0.42,0.46,0.45,0.39,0.44,0.49,0.42,0.5,0.42,0.35,0.32,0.46,0.41
50.4,0.62,0.57,0.65,0.69,0.56,0.55,0.66,0.63,0.54,0.7,0.54,0.62,0.59,0.59,0.72,0.6,0.65,0.57
50.5,0.74,0.77,0.74,0.8,0.73,0.8,0.9,0.84,0.77,0.86,0.8,0.73,0.77,0.77,0.92,0.84,0.71,0.77
50.10,2.02,2.03,2.11,2.1,1.95,2.04,2.02,2.42,2.21,2.33,1.95,2.06,1.97,2.05,2.11,2.28,2.04,2.29
100.2,1.28,1.34,1.27,1.27,1.54,1.4,1.28,1.28,1.29,1.41,1.34,1.41,1.47,1.54,1.47,1.48,1.4,1.47
100.3,2.09,2.31,2.2,2.09,2.42,2.09,2.3,2.73,2.72,2.53,2.61,2.62,3.04,2.72,2.41,2.4,2.86,2.3
100.4,3.17,3.77,3.47,3.17,3.17,3.31,3.51,3.61,4.37,3.61,3.64,3.49,3.62,3.65,3.79,4.28,4.38,4.23
100.5,4.78,4.59,5.23,5.48,5.2,4.79,4.59,4.83,5.04,6.01,6.22,6.02,4.57,5.4,5.62,5.41,4.61,5.6
200.2,8.64,8.19,8.19,8.65,8.22,10.34,8.62,9.47,8.61,8.61,10.33,9.47,9.94,10.39,9.04,9.05,9.06,9.9
200.3,14.39,14.38,14.41,14.35,15.12,14.43,16.55,15.81,17.29,16.53,15.15,16.59,17.31,16.54,18.01,18.0,19.51,20.9
mean,2.533125,2.5456250000000002,2.57375,2.59625,2.61375,2.674375,2.72125,2.7824999999999998,2.83875,2.845625,2.8525,2.8625000000000003,2.9018749999999995,2.90625,2.9368749999999997,2.961875,3.0,3.1825
