problem,VND first_ls kmax=3 max_iter=10 angle_init - time (s),VND best_ls kmax=1 max_iter=10 angle_init - time (s),VND best_ls kmax=2 max_iter=10 angle_init - time (s),VND first_ls kmax=1 max_iter=10 angle_init - time (s),VND first_ls kmax=2 max_iter=10 angle_init - time (s),VND first_ls kmax=1 max_iter=10 random_init - time (s),VND first_ls kmax=2 max_iter=10 random_init - time (s),VND best_ls kmax=3 max_iter=10 angle_init - time (s),VND first_ls kmax=3 max_iter=10 random_init - time (s),VND first_ls kmax=3 max_iter=10 min_max_init - time (s)
20.2,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
20.3,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
20.4,0.08,0.08,0.08,0.09,0.08,0.08,0.08,0.08,0.08,0.08
20.5,0.1,0.1,0.09,0.1,0.1,0.1,0.1,0.1,0.1,0.1
25.2,0.07,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.06,0.06
25.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09
25.4,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.14,0.13,0.14
25.5,0.18,0.18,0.17,0.18,0.18,0.17,0.17,0.18,0.18,0.18
40.2,0.2,0.19,0.19,0.2,0.2,0.2,0.19,0.2,0.21,0.2
40.3,0.31,0.29,0.31,0.31,0.32,0.31,0.31,0.32,0.3,0.3
40.4,0.47,0.46,0.49,0.49,0.46,0.45,0.47,0.46,0.46,0.48
40.5,0.54,0.57,0.6,0.62,0.57,0.64,0.61,0.61,0.61,0.6
40.10,1.54,1.47,1.37,1.5,1.51,1.5,1.49,1.56,1.55,1.51
50.2,0.34,0.34,0.34,0.34,0.33,0.34,0.34,0.35,0.34,0.34
50.3,0.52,0.57,0.65,0.52,0.57,0.59,0.57,0.55,0.56,0.54
50.4,0.77,0.82,0.83,0.84,0.87,0.82,0.87,0.8,0.85,0.94
mean,0.340625,0.341875,0.345,0.34875,0.349375,0.349375,0.35,0.350625,0.35187500000000005,0.35375
